,chain,aura_bribes,bal_bribes,pool_total,fees_taken
B-wstETH-WETH-Stable,arbitrum,711.3138254616805087310042276,1477.991174538319491268995772,4378.61,2189.305
RDNT-WETH,arbitrum,4650.400486673158688234721437,9662.754513326841311765278563,28626.31,14313.155
B-rETH-STABLE,mainnet,4082.439154126387415841162211,8482.625845873612584158837789,25130.13,12565.065
20WETH-80ALCX,mainnet,281.5243924693746351503258788,584.9606075306253648496741212,1732.97,866.485
B-staFiETH-WETH-Stable,mainnet,536.0119033778001364275502406,1113.743096622199863572449759,3299.51,1649.755
ankrETH/wstETH,mainnet,0E-31,0E-31,0.00,0.000
50wstETH-50LDO,mainnet,99.63666747447534866544104703,207.0283325255246513345589530,613.33,306.665
50rETH-50BADGER,mainnet,697.6808560415347939282001700,1449.664143958465206071799830,4294.69,2147.345
50rETH-50RPL,mainnet,479.3990159465968457741995966,996.1109840534031542258004034,2951.02,1475.510
50STG-50bbaUSD,mainnet,47.05746248729276938665695155,97.77753751270723061334304845,289.67,144.835
wbETH-wstETH,mainnet,460.8892383520853736027089588,957.6507616479146263972910412,2837.08,1418.540
50wstETH-50ACX,mainnet,265.9013864024607482034042127,552.4986135975392517965957873,1636.80,818.400
